,总价,建筑面积,室,厅,卫,y_pred
525,125.0,115.14,3.0,2.0,2.0,132.16598961628165
526,115.0,90.0,2.0,2.0,1.0,85.55461367464721
527,93.0,138.0,2.0,2.0,1.0,134.0174090064072
528,189.0,144.0,3.0,2.0,2.0,161.30424530950236
529,145.0,90.0,2.0,1.0,1.0,83.76708176799318
530,45.0,50.0,2.0,1.0,1.0,43.3814189915265
531,130.0,134.63,3.0,2.0,2.0,151.84390380411506
532,51.0,57.7,1.0,1.0,1.0,46.861014209174826
533,63.0,51.61,1.0,1.0,1.0,40.71229705145778
534,91.0,111.7,2.0,2.0,1.0,107.46383573088038
535,75.0,64.29,2.0,1.0,1.0,57.809197018419226
536,72.0,72.55,2.0,1.0,1.0,66.1488363817596
537,86.0,91.4,2.0,2.0,1.0,86.96811187182355
538,78.5,90.0,2.0,2.0,1.0,85.55461367464721
539,92.0,100.6,2.0,2.0,1.0,96.25681431041087
540,70.0,80.07,2.0,1.0,1.0,73.74134098373531
541,80.0,140.0,3.0,2.0,2.0,157.2656790318557
542,176.0,126.1,3.0,2.0,2.0,143.23166121703352
543,43.8,55.0,2.0,1.0,1.0,48.42962683858484
544,40.0,59.0,1.0,1.0,1.0,48.17354824940999
545,155.0,127.0,3.0,2.0,2.0,144.14033862950404
546,52.5,60.0,2.0,1.0,1.0,53.47783468564318
547,84.0,70.53,2.0,1.0,1.0,64.10936041154804
548,100.0,114.0,3.0,2.0,2.0,131.01499822715238
549,115.0,97.0,3.0,2.0,2.0,113.85109154715403
550,70.0,88.43,2.0,2.0,1.0,83.96947641067091
551,600.0,260.0,5.0,3.0,4.0,322.66817304116006
552,92.0,127.0,3.0,2.0,2.0,144.14033862950404
553,142.0,92.43,2.0,2.0,1.0,88.00804268831757
554,80.0,88.68,2.0,2.0,1.0,84.22188680302382
555,280.0,80.0,3.0,1.0,1.0,77.96531094069803
556,165.0,150.0,4.0,1.0,1.0,152.9348656663362
557,67.5,100.0,2.0,2.0,1.0,95.65102936876389
558,50.0,80.0,2.0,2.0,1.0,75.45819798053054
559,24.0,48.99,1.0,2.0,1.0,39.85456804625325
560,49.0,73.0,3.0,1.0,1.0,70.89781995481636
561,85.0,91.0,2.0,1.0,1.0,84.77672333740485
562,110.0,93.0,2.0,1.0,1.0,86.79600647622819
563,409.5,267.54,4.0,2.0,4.0,324.19869370104846
564,58.0,90.0,2.0,1.0,1.0,83.76708176799318
565,43.0,55.3,2.0,1.0,1.0,48.73251930940833
566,88.0,98.13,2.0,2.0,1.0,93.76299963396406
567,65.0,80.0,2.0,2.0,1.0,75.45819798053054
568,57.0,65.0,2.0,1.0,1.0,58.5260425327015
569,120.0,98.86,2.0,2.0,1.0,94.50003797963458
570,99.0,106.94,2.0,2.0,1.0,102.65794186048085
571,118.8,140.7,4.0,3.0,2.0,164.0546049039194
572,78.8,90.0,2.0,2.0,1.0,85.55461367464721
573,65.5,87.86,2.0,2.0,1.0,83.39398071610624
574,52.0,72.08,2.0,1.0,1.0,65.6743048441361
575,90.0,75.5,2.0,1.0,1.0,69.12727901152402
576,119.8,108.0,2.0,2.0,2.0,120.66250394386086
577,135.0,135.0,3.0,2.0,2.0,152.21747118479738
578,245.0,160.0,4.0,2.0,2.0,181.75315528691053
579,92.0,106.0,3.0,2.0,1.0,106.00352365205539
580,83.0,88.59,2.0,2.0,1.0,84.13101906177677
581,76.0,95.0,2.0,1.0,1.0,88.81528961505151
582,54.0,68.0,2.0,1.0,1.0,61.554967240936506
583,330.0,275.0,4.0,3.0,3.0,316.5838096957099
584,56.0,55.0,1.0,1.0,1.0,44.13498197176333
585,100.0,101.0,2.0,2.0,1.0,96.66067093817554
586,90.0,89.0,2.0,1.0,1.0,82.75744019858152
587,93.0,115.0,2.0,2.0,1.0,110.79565290993888
588,62.0,85.0,2.0,2.0,1.0,80.50640582758888
589,120.0,120.0,3.0,2.0,2.0,137.07284764362237
590,88.0,89.0,2.0,2.0,1.0,84.54497210523554
591,385.0,178.35,3.0,2.0,2.0,195.9854332187931
592,48.8,90.0,2.0,2.0,1.0,85.55461367464721
593,102.0,88.0,2.0,2.0,1.0,83.53533053582387
594,112.0,144.0,3.0,2.0,2.0,161.30424530950236
595,73.0,78.0,1.0,1.0,1.0,67.35673806823166
596,112.0,86.23,2.0,2.0,1.0,81.74826495796523
597,58.0,72.63,2.0,1.0,1.0,66.22960770731252
598,155.0,164.5,3.0,2.0,2.0,182.00189748244154
599,51.0,86.0,2.0,2.0,1.0,81.51604739700055
600,105.0,99.0,2.0,1.0,1.0,92.85385589269818
601,66.5,66.0,2.0,1.0,1.0,59.53568410211317
602,96.0,77.94,2.0,1.0,1.0,71.59080444088848
603,77.0,90.0,2.0,1.0,1.0,83.76708176799318
604,68.0,77.0,2.0,2.0,1.0,72.42927327229555
605,108.99,89.97,2.0,2.0,1.0,85.52432442756486
606,95.0,121.0,3.0,2.0,1.0,121.14814719323039
607,68.0,153.0,3.0,3.0,2.0,172.1785513408614
608,73.0,89.0,2.0,2.0,1.0,84.54497210523554
609,120.0,97.0,2.0,2.0,1.0,92.62210466052888
610,135.0,115.0,3.0,2.0,1.0,115.0902977767604
611,145.0,96.3,2.0,1.0,1.0,90.12782365528668
612,47.0,68.0,2.0,1.0,1.0,61.554967240936506
613,95.0,88.45,2.0,2.0,1.0,83.98966924205914
614,68.0,87.0,2.0,2.0,1.0,82.52568896641222
615,108.0,100.0,3.0,1.0,1.0,98.15814232893136
616,245.0,210.0,3.0,2.0,2.0,227.94058889067236
617,69.0,66.0,2.0,1.0,1.0,59.53568410211317
618,75.0,86.0,2.0,2.0,1.0,81.51604739700055
619,128.0,105.07,2.0,2.0,1.0,100.76991212568102
620,75.0,79.62,2.0,1.0,1.0,73.28700227750008
621,67.0,51.0,1.0,1.0,1.0,40.09641569411666
622,81.0,90.4,2.0,2.0,1.0,85.95847030241188
623,56.8,65.0,2.0,1.0,1.0,58.5260425327015
624,43.0,55.0,2.0,1.0,1.0,48.42962683858484
625,75.0,66.7,1.0,1.0,1.0,55.947788333879835
626,99.0,100.0,3.0,2.0,1.0,99.94567423558539
627,105.0,67.79,2.0,2.0,1.0,63.1304744180141
628,85.0,86.4,2.0,2.0,1.0,81.91990402476522
629,116.0,95.0,3.0,2.0,1.0,94.89746638852706
630,143.0,106.0,3.0,2.0,1.0,106.00352365205539
631,360.0,256.0,3.0,2.0,2.0,274.384101083609
632,130.0,131.03,3.0,2.0,2.0,148.20919415423305
633,98.0,100.0,2.0,2.0,1.0,95.65102936876389
634,85.0,123.91,2.0,2.0,1.0,119.79155929339683
635,450.0,206.8,5.0,4.0,3.0,253.80843143530979
636,182.0,163.0,3.0,2.0,2.0,180.48743512832402
637,150.0,180.0,4.0,2.0,2.0,201.94598667514387
638,225.0,170.0,4.0,2.0,2.0,191.84957098102723
639,146.0,210.0,6.0,2.0,3.0,257.75886551094055
640,136.0,150.0,3.0,2.0,1.0,150.42775270616872
